"","PROM_GRAL_2018","PROM_GRAL_2019","GEN_ALU","ASISTENCIA_2018"
"345",5.4,5.7,"2",85
"346",5.6,5.1,"1",98
"347",6,6.1,"2",96
"348",5.3,4.9,"2",98
"349",5,5.4,"2",87
"350",4.9,5.2,"1",97
"351",6.8,6.9,"1",99
"352",6.9,6.5,"2",95
"353",6.3,6.5,"2",94
"354",5.7,5.7,"2",95
"355",6.3,6.3,"1",94
"356",5.7,4.3,"1",78
"357",5.2,4.5,"1",98
"358",5.8,5.1,"1",91
"359",5.3,5.4,"1",97
"360",5.3,4.8,"1",96
"361",5.4,5.7,"1",96
"362",5.9,6.4,"2",80
"363",5.6,3.8,"1",91
"364",5.5,5,"1",97
"365",6.3,6.2,"2",97
"366",6,6.2,"2",97
"367",5.4,5.5,"2",98
"368",4.9,5.2,"1",96
"369",6.2,5.8,"1",97
"370",5.7,5.3,"2",97
"371",5.8,5.4,"2",100
"372",4.1,4.5,"2",82
"373",6.1,6.3,"2",80
"374",5.9,6.1,"2",92
"375",5.9,5,"2",95
"376",5.7,5.7,"1",99
"377",5.7,5.6,"1",97
"378",5.6,5.6,"1",100
"379",6.2,6.2,"2",99
"380",5.8,5.4,"1",95
"381",6.2,6.5,"1",100
"382",5.7,5.4,"2",93
"383",6.3,6,"1",84
"384",6.5,6.5,"2",92
"385",6,6.7,"1",93
"386",6.2,6.3,"1",90
"387",5.9,5.2,"1",97
"388",5.4,5.5,"1",95
"389",5.6,5.4,"2",95
"390",6,5.4,"1",85
"391",6,5.9,"2",98
"392",5.4,5.7,"1",99
"393",5.1,5.2,"1",91
"394",6.3,5.5,"2",97
"395",4.5,3.7,"2",85
"396",6.4,6.5,"2",83
"397",5.4,5.3,"1",97
"398",4.5,4.9,"2",93
"399",5.5,6,"2",99
"400",5.8,5.8,"2",95
"401",6,5.8,"2",94
"402",4.8,5.3,"1",82
"403",5.7,4.9,"1",100
"404",5,5.4,"2",93
"405",6.8,6.5,"2",98
"406",6.5,6.7,"2",95
"407",5.4,5.6,"1",89
"408",5,5.6,"2",97
"409",6.5,6.3,"1",94
"410",5.6,5,"2",97
"411",6,5.6,"2",99
"412",6.4,6.3,"2",94
"413",4.8,4.7,"1",78
"414",6.5,6.4,"2",97
"415",6.1,6.3,"2",99
"416",6.8,6.4,"2",92
"417",4.7,5.3,"1",79
"418",5.5,6.2,"1",89
"419",4.9,4,"2",88
"420",6.1,5.7,"1",97
"421",5.6,5.3,"1",90
"422",5.7,5.4,"2",95
"423",5.7,5.7,"2",100
