"","COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"238",8,0,1,17,6.5,87,"0"
"239",13,0,1,17,6.5,87,"0"
"240",13,0,2,18,4.9,78,"0"
"241",13,0,1,18,6.1,91,"0"
"242",13,0,1,18,5.1,85,"0"
"243",13,0,2,17,6.4,98,"0"
"244",13,0,2,17,6.4,92,"0"
"245",13,0,2,17,6.5,93,"0"
"246",13,0,2,17,6,98,"0"
"247",13,0,2,17,6.4,97,"0"
"248",13,0,1,17,6.4,100,"0"
"249",13,0,2,17,5.5,100,"0"
"250",9,1,2,19,5.8,92,"0"
"251",4,0,1,19,5.7,100,"0"
"252",13,0,2,17,6.5,93,"0"
"253",5,0,1,17,5.8,94,"1"
"254",10,0,1,17,5.2,85,"0"
"255",13,0,2,18,5.7,76,"0"
"256",8,0,1,17,5.4,97,"0"
"257",5,0,2,17,5.6,82,"0"
"258",13,0,1,18,5.8,96,"0"
"259",5,0,2,18,6.9,93,"0"
"260",13,0,1,18,6.9,99,"0"
"261",2,0,2,23,5.4,68,"0"
"262",2,0,1,17,5.3,98,"0"
"263",4,0,1,17,5,95,"0"
"264",10,1,1,17,5.5,94,"0"
"265",13,0,2,17,6.4,93,"0"
"266",6,0,1,17,4.8,80,"0"
"267",9,0,2,17,5.8,94,"0"
"268",13,0,1,17,5.4,93,"0"
"269",13,0,1,17,6.1,95,"0"
"270",13,0,2,32,6.6,94,"0"
"271",7,0,1,17,6.1,97,"0"
"272",1,0,1,17,6.3,94,"0"
"273",5,0,2,17,6.1,91,"0"
"274",6,0,2,17,5.1,94,"0"
"275",4,0,1,17,6,99,"0"
"276",5,0,1,24,6,83,"0"
"277",6,0,1,17,6.3,79,"0"
"278",15,0,2,17,6.5,85,"0"
"279",6,0,2,17,6.6,98,"0"
"280",13,0,1,17,5,91,"0"
"281",13,0,1,17,5.1,92,"0"
"282",14,0,1,17,6.2,91,"0"
"283",9,0,2,18,6,96,"0"
"284",7,0,1,17,6.7,98,"0"
"285",10,0,2,18,5.5,99,"0"
"286",12,0,1,18,5.4,96,"0"
"287",10,0,2,19,5.8,83,"0"
"288",5,0,2,17,6.8,95,"0"
"289",13,0,1,18,5.5,94,"0"
"290",14,0,1,19,5.4,100,"0"
"291",13,0,2,19,6.3,65,"0"
"292",9,0,1,18,5.6,89,"0"
"293",2,0,2,17,5.5,93,"0"
"294",2,0,2,17,5.2,83,"0"
"295",13,0,1,17,5.4,95,"0"
"296",6,0,2,26,6,89,"0"
"297",5,0,1,17,5.4,89,"0"
"298",7,0,2,17,6.7,75,"0"
"299",8,0,2,17,6.3,91,"0"
"300",10,0,2,18,5.7,97,"0"
"301",13,0,1,17,6.3,95,"0"
"302",7,0,2,20,6.6,92,"0"
"303",13,0,2,17,6,99,"0"
"304",6,0,1,17,6.8,97,"0"
"305",9,0,2,17,6,88,"0"
"306",2,0,1,18,5.7,99,"0"
"307",16,0,2,17,6,90,"0"
"308",13,0,2,18,5.9,92,"0"
"309",13,0,1,17,5.6,99,"0"
"310",13,0,1,19,5.7,97,"0"
"311",13,0,1,17,5.9,96,"0"
"312",3,0,2,17,6.8,92,"0"
"313",13,0,2,17,6,93,"0"
"314",9,0,2,17,6.2,94,"0"
"315",9,0,2,17,6.5,87,"0"
"316",13,0,1,18,5.1,87,"0"
"317",13,0,2,17,6.2,94,"0"
"318",13,0,2,17,5.4,93,"0"
"319",13,0,2,17,6.3,92,"0"
"320",5,0,2,17,6.5,97,"0"
"321",5,0,2,18,4.9,97,"0"
"322",9,0,1,17,6,100,"0"
"323",13,0,2,19,6.2,89,"0"
"324",10,0,2,19,5.1,86,"0"
"325",5,0,2,33,6.5,100,"0"
"326",13,0,1,18,5.2,92,"0"
"327",13,0,2,18,6.2,86,"0"
"328",4,0,2,17,6.3,57,"0"
"329",13,0,2,17,6.3,83,"0"
"330",13,0,2,17,5.8,98,"0"
"331",7,0,2,26,6.3,85,"0"
"332",10,0,1,17,6.3,99,"0"
"333",13,0,2,18,5.1,87,"0"
"334",13,0,1,17,6,95,"0"
"335",13,0,2,17,6.1,90,"0"
"336",13,0,1,17,6.5,96,"0"
"337",13,0,1,17,6,90,"0"
"338",13,0,2,17,6.1,97,"0"
"339",9,0,1,45,6.1,100,"0"
"340",5,0,1,18,5.3,87,"0"
"341",16,0,1,17,6.1,97,"0"
"342",7,0,2,17,6.6,94,"0"
"343",14,0,1,18,6.2,90,"0"
"344",1,0,2,17,6.8,95,"0"
"345",14,0,1,17,6.5,90,"0"
"346",1,0,2,17,6.1,95,"0"
"347",13,0,1,17,6.6,95,"0"
"348",9,0,2,18,5.3,93,"0"
"349",13,0,1,17,5.4,90,"0"
"350",13,0,1,21,6.2,91,"0"
"351",1,1,1,18,5.9,94,"0"
"352",13,0,1,17,6.1,93,"0"
"353",9,0,2,17,6.4,100,"0"
"354",5,0,2,19,5.1,92,"0"
"355",13,0,2,18,5.4,90,"0"
"356",13,0,1,18,5.6,87,"0"
"357",6,0,2,19,4.9,75,"0"
"358",4,0,2,17,5.6,97,"0"
"359",4,0,1,17,5.6,94,"0"
"360",13,0,2,18,6,98,"0"
